عاشورزاده	Person	1	1	Entity	YES		
خيلي	-	-	-	-	-	-	
خوب	-	-	-	-	-	-	
شده	-	-	-	-	-	-	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

کارمندان	-	-	-	-	-	-	
خيلي	-	-	-	-	-	-	
به	-	-	-	-	-	-	
ورزشکاران	-	-	-	-	-	-	
احترام	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
گذارند	-	-	-	-	-	-	
و	-	-	-	-	-	-	
درکل	-	-	-	-	-	-	
نسبت	-	-	-	-	-	-	
به	-	-	-	-	-	-	
قبل	-	-	-	-	-	-	
خيلي	-	-	-	-	-	-	
بهتر	-	-	-	-	-	-	
شده	-	-	-	-	-	-	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

بخش	-	-	-	-	-	-	
حمايتي	-	-	-	-	-	-	
تغييراتي	-	-	-	-	-	-	
کرده	-	-	-	-	-	-	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

آخرين	-	-	-	-	-	-	
بار	-	-	-	-	-	-	
سال	-	-	-	-	-	-	
گذشته	-	-	-	-	-	-	
بود	-	-	-	-	-	-	
که	-	-	-	-	-	-	
به	-	-	-	-	-	-	
صندوق	-	14	12	Other	NO		
آمدم	-	-	-	-	-	-	
الان	-	-	-	-	-	-	
خيلي	-	-	-	-	-	-	
متفاوت	-	-	-	-	-	-	
و	-	-	-	-	-	-	
به	-	-	-	-	-	-	
نظرم	-	-	-	-	-	-	
محيط	-	-	-	-	-	-	
ورزشي	-	-	-	-	-	-	
تر	-	-	-	-	-	-	
شده	-	-	-	-	-	-	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

عاشورزاده	-	15	1	Other	YES		
اضافه	-	-	-	-	-	-	
کرد	-	-	-	-	-	-	
:	-	-	-	-	-	-	
الان	-	-	-	-	-	-	
در	-	-	-	-	-	-	
اردوي	-	-	-	-	-	-	
آماده	-	-	-	-	-	-	
سازي	-	-	-	-	-	-	
هستم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

20	-	-	-	-	-	-	
خرداد	-	-	-	-	-	-	
ماه	-	-	-	-	-	-	
هم	-	-	-	-	-	-	
به	-	-	-	-	-	-	
تورنمنت	-	-	-	-	-	-	
يونان	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
رويم	-	-	-	-	-	-	
که	-	-	-	-	-	-	
قبل	-	-	-	-	-	-	
از	-	-	-	-	-	-	
المپيک	-	16	16	Other	NO		
به	-	-	-	-	-	-	
آمادگي	-	-	-	-	-	-	
بيشتري	-	-	-	-	-	-	
برسيم	-	-	-	-	-	-	
بعد	-	-	-	-	-	-	
از	-	-	-	-	-	-	
آن	-	-	-	-	-	-	
هم	-	-	-	-	-	-	
که	-	-	-	-	-	-	
المپيک	-	17	16	Other	NO		
را	-	-	-	-	-	-	
داريم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

خداراشکر	-	-	-	-	-	-	
که	-	-	-	-	-	-	
همه	-	-	-	-	-	-	
چيز	-	-	-	-	-	-	
روز	-	-	-	-	-	-	
به	-	-	-	-	-	-	
روز	-	-	-	-	-	-	
بهتر	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
شود	-	-	-	-	-	-	
.	-	-	-	-	-	-	

شرايط	-	-	-	-	-	-	
م	Organization	18	1	Other	YES		
عالي	-	-	-	-	-	-	
و	-	-	-	-	-	-	
ايده	-	-	-	-	-	-	
آل	-	-	-	-	-	-	
است	-	-	-	-	-	-	
و	-	-	-	-	-	-	
تلاش	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
کنم	-	-	-	-	-	-	
که	-	-	-	-	-	-	
در	-	-	-	-	-	-	
المپيک	-(*	19(*	16(*	Other(*	NO(*	(*	
ريو	-*)	19*)	16*)	Other*)	NO*)	*)	
نماينده	-	-	-	-	-	-	
شايسته	-	-	-	-	-	-	
کشور	-	-	-	-	-	-	
م	Organization	20	1	Other	YES		
باشم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

