	-	-	-	-	-	-
بيان	-	-	-	-	-	-
اينکه	-	-	-	-	-	-
سه	-	-	-	-	-	-
و	-	-	-	-	-	-
نيم	-	-	-	-	-	-
ميليون	-	-	-	-	-	-
دستگاه	-	-	-	-	-	-
موتورسيکلت	-	-	-	-	-	-
در	-	-	-	-	-	-
پايتخت	-	26	1	Other	NO	
شماره	-	-	-	-	-	-
گذاري	-	-	-	-	-	-
شده	-	-	-	-	-	-
است	-	-	-	-	-	-
،	-	-	-	-	-	-
گفت	-	-	-	-	-	-
:	-	-	-	-	-	-
از	-	-	-	-	-	-
اين	-	-	-	-	-	-
ميان	-	-	-	-	-	-
يک	-	-	-	-	-	
و	-	-	-	-	-	
نيم	-	-	-	-	-	
ميليون	-	-	-	-	-	
دستگاه	-	-	-	-	-	
موتورسيکلت	-	-	-	-	-	
روزانه	-	-	-	-	-	-
در	-	-	-	-	-	-
پايتخت	-	28	1	Other	NO	
تردد	-	-	-	-	-	-
مي	-	-	-	-	-	-
کنند	-	-	-	-	-	
.	-	-	-	-	-	-

همچنين	-	-	-	-	-	-
حدود	-	-	-	-	-	-
سه	-	-	-	-	-	-
و	-	-	-	-	-	-
نيم	-	-	-	-	-	-
ميليون	-	-	-	-	-	-
دستگاه	-	-	-	-	-	-
خودروي	-	-	-	-	-	-
سواري	-	-	-	-	-	-
نيز	-	-	-	-	-	-
در	-	-	-	-	-	-
پايتخت	-	30	1	Other	NO	
داريم	-	-	-	-	-	-
.	-	-	-	-	-	-

مرادي	Person	31	2	Entity	NO	
از	-	-	-	-	-	-
سهم	-	-	-	-	-	-
30	-	-	-	-	-	-
درصدي	-	-	-	-	-	-
موتورسيکلت	-	-	-	-	-	-
سواران	-	-	-	-	-	-
در	-	-	-	-	-	-
تلفات	-	-	-	-	-	-
حوادث	-	-	-	-	-	-
رانندگي	-	-	-	-	-	-
خبر	-	-	-	-	-	-
داد	-	-	-	-	-	-
و	-	-	-	-	-	-
گفت	-	-	-	-	-	-
:	-	-	-	-	-	-
آمارهاي	-(*	32(*	32(*	Other(*	NO(*	(*
پزشکي	*	*	*	*	*	*
قانوني	-*)	32*)	32*)	Other*)	NO*)	*)
نشان	-	-	-	-	-	-
مي	-	-	-	-	-	-
دهد	-	-	-	-	-	
که	-	-	-	-	-	-
حدود	-	-	-	-	-	-
30	-	-	-	-	-	-
درصد	-	-	-	-	-	-
از	-	-	-	-	-	-
جان	-	-	-	-	-	-
باختگان	-	-	-	-	-	-
حوادث	-	-	-	-	-	-
رانندگي	-	-	-	-	-	-
را	-	-	-	-	-	-
موتورسيکلت	-	-	-	-	-	
سواران	-	-	-	-	-	
تشکيل	-	-	-	-	-	-
مي	-	-	-	-	-	-
دهند	-	-	-	-	-	
که	-	-	-	-	-	-
اگر	-	-	-	-	-	-
اين	-(*	36(*	32(*	Other(*	NO(*	(*
آمار	-*)	36*)	32*)	Other*)	NO*)	*)
را	-	-	-	-	-	-
به	-	-	-	-	-	-
نسبت	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
موتورسيکلت	-	-	-	-	-	-
ها	-	-	-	-	-	-
و	-	-	-	-	-	-
خودروهاي	-	-	-	-	-	-
سواري	-	-	-	-	-	-
مقايسه	-	-	-	-	-	-
کنيم	-	-	-	-	-	-
،	-	-	-	-	-	-
مشخص	-	-	-	-	-	-
مي	-	-	-	-	-	-
شود	-	-	-	-	-	-
که	-	-	-	-	-	-
موتورسيکلت	-(*	37(*	37(*	Other(*	NO(*	(*
سواران	-*)	37*)	37*)	Other*)	NO*)	*)
سهم	-	-	-	-	-	-
قابل	-	-	-	-	-	-
توجهي	-	-	-	-	-	-
از	-	-	-	-	-	-
جان	-	-	-	-	-	-
باختگان	-	-	-	-	-	-
حوادث	-	-	-	-	-	-
رانندگي	-	-	-	-	-	-
را	-	-	-	-	-	-
به	-	-	-	-	-	-
خود	-	38	37	PRO	NO	
اختصاص	-	-	-	-	-	-
دادند	-	-	-	-	-	
.	-	-	-	-	-	-

معاون	-(*	40(*	2(*	Other(*	NO(*	(*
آموزش	*	*	*	*	*	*
و	*	*	*	*	*	*
فرهنگ	*	*	*	*	*	*
ترافيک	*	*	*	*	*	*
پليس	*	*	*	*	*	*
راهور	*	*	*	*	*	*
پايتخت	-*)	40*)	2*)	Other*)	NO*)	*)
،	-	-	-	-	-	-
ضربه	-	-	-	-	-	-
به	-	-	-	-	-	-
سر	-	-	-	-	-	-
را	-	-	-	-	-	-
مهم	-	-	-	-	-	-
ترين	-	-	-	-	-	-
عامل	-	-	-	-	-	-
مرگ	-	-	-	-	-	-
موتور	-	-	-	-	-	-
سيکلت	-	-	-	-	-	-
سواران	-	-	-	-	-	-
اعلام	-	-	-	-	-	-
کرد	-	-	-	-	-	-
و	-	-	-	-	-	-
گفت	-	-	-	-	-	-
:	-	-	-	-	-	-
اصرار	-	-	-	-	-	-
پليس	Organization	41	15	Entity	NO	
بر	-	-	-	-	-	-
داشتن	-	-	-	-	-	-
کلاه	-	-	-	-	-	-
ايمني	-	-	-	-	-	-
در	-	-	-	-	-	-
واقع	-	-	-	-	-	-
براي	-	-	-	-	-	-
حفظ	-	-	-	-	-	-
جان	-	-	-	-	-	-
موتور	-	-	-	-	-	-
سيکلت	-	-	-	-	-	-
سواران	-	-	-	-	-	-
است	-	-	-	-	-	-
.	-	-	-	-	-	-

مرادي	Person	42	2	Entity	NO	
،	-	-	-	-	-	-
عبور	-	-	-	-	-	-
از	-	-	-	-	-	-
پياده	-	-	-	-	-	-
رو	-	-	-	-	-	-
،	-	-	-	-	-	-
عبور	-	-	-	-	-	-
از	-	-	-	-	-	-
خط	-	-	-	-	-	-
ويژه	-	-	-	-	-	-
،	-	-	-	-	-	-
عبور	-	-	-	-	-	-
از	-	-	-	-	-	-
محل	-	-	-	-	-	-
هاي	-	-	-	-	-	-
ممنوعه	-	-	-	-	-	-
،	-	-	-	-	-	-
انجام	-	-	-	-	-	-
حرکات	-	-	-	-	-	-
نمايشي	-	-	-	-	-	-
با	-	-	-	-	-	-
موتور	-	-	-	-	-	-
سيکلت	-	-	-	-	-	-
،	-	-	-	-	-	-
حرکت	-	-	-	-	-	-
خلاف	-	-	-	-	-	-
جهت	-	-	-	-	-	-
و	-	-	-	-	-	-
...	-	-	-	-	-	-
را	-	-	-	-	-	-
از	-	-	-	-	-	-
جمله	-	-	-	-	-	-
تخلفاتي	-	-	-	-	-	-
دانست	-	-	-	-	-	-
که	-	-	-	-	-	-
در	-	-	-	-	-	-
صورت	-	-	-	-	-	-
ارتکاب	-	-	-	-	-	-
،	-	-	-	-	-	-
پليس	Organization(*	43(*	4(*	Entity(*	NO(*	(*
راهور	Organization*)	43*)	4*)	Entity*)	NO*)	*)
به	-	-	-	-	-	-
جديت	-	-	-	-	-	-
با	-	-	-	-	-	-
آن	-	-	-	-	-	-
برخورد	-	-	-	-	-	-
مي	-	-	-	-	-	-
کند	-	-	-	-	-	
.	-	-	-	-	-	-

انتهاي	-	-	-	-	-	-
پيام	-	-	-	-	-	-
