صالحي	Person	1	1	Entity	YES		
خواهد	-	-	-	-	-	-	
شد	-	-	-	-	-	-	
.	-	-	-	-	-	-	

رئيس	-(*	13(*	1(*	Other(*	YES(*	(*	
سازمان	*	*	*	*	*	*	
انرژي	*	*	*	*	*	*	
اتمي	-*)	13*)	1*)	Other*)	YES*)	*)	
درباره	-	-	-	-	-	-	
مذاکرات	-	-	-	-	-	-	
با	-	-	-	-	-	-	
روس	-	-	-	-	-	-	
ها	-	-	-	-	-	-	
براي	-	-	-	-	-	-	
فروش	-	-	-	-	-	-	
40	-	-	-	-	-	-	
تن	-	-	-	-	-	-	
آب	-	-	-	-	-	-	
سنگين	-	-	-	-	-	-	
به	-	-	-	-	-	-	
اين	-(*	15(*	14(*	Other(*	NO(*	(*	
کشور	-*)	15*)	14*)	Other*)	NO*)	*)	
نيز	-	-	-	-	-	-	
اظهار	-	-	-	-	-	-	
داشت	-	-	-	-	-	-	
:	-	-	-	-	-	-	
مذاکره	-	-	-	-	-	-	
با	-	-	-	-	-	-	
روسيه	Location	14	14	Entity	NO		
براي	-	-	-	-	-	-	
فروش	-	-	-	-	-	-	
40	-	-	-	-	-	-	
تن	-	-	-	-	-	-	
آب	-	-	-	-	-	-	
سنگين	-	-	-	-	-	-	
هنوز	-	-	-	-	-	-	
ادامه	-	-	-	-	-	-	
دارد	-	-	-	-	-	-	
.	-	-	-	-	-	-	

البته	-	-	-	-	-	-	
شرکت	-	-	-	-	-	-	
هاي	-	-	-	-	-	-	
يکي	-	-	-	-	-	-	
دو	-	-	-	-	-	-	
کشور	-	-	-	-	-	-	
اروپايي	-	-	-	-	-	-	
با	-	-	-	-	-	-	
ما	-	-	-	-	-	-	
تماس	-	-	-	-	-	-	
گرفته	-	-	-	-	-	-	
اند	-	-	-	-	-	-	
و	-	-	-	-	-	-	
در	-	-	-	-	-	-	
شرف	-	-	-	-	-	-	
مذاکره	-	-	-	-	-	-	
هستيم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

