ويسي	Person	1	1	Entity	YES		
تيم	-(*	22(*	12(*	Other(*	NO(*	(*	
سپاهان	-*)	22*)	12*)	Other*)	NO*)	*)	
تا	-	-	-	-	-	-	
اينجاي	-	-	-	-	-	-	
مسابقات	-	-	-	-	-	-	
يک	-(*	23(*	12(*	Other(*	NO(*	(*	
تيم	*	*	*	*	*	*	
منسجم	*	*	*	*	*	*	
و	*	*	*	*	*	*	
يکدست	-*)	23*)	12*)	Other*)	NO*)	*)	
بوده	-	-	-	-	-	-	
و	-	-	-	-	-	-	
به	-	-	-	-	-	-	
خوبي	-	-	-	-	-	-	
نشان	-	-	-	-	-	-	
داده	-	-	-	-	-	-	
اگر	-	-	-	-	-	-	
بتواند	-	-	-	-	-	-	
به	-	-	-	-	-	-	
همين	-	-	-	-	-	-	
روند	-	-	-	-	-	-	
ادامه	-	-	-	-	-	-	
دهد	-	-	-	-	-	-	
،	-	-	-	-	-	-	
توانايي	-	-	-	-	-	-	
کسب	-	-	-	-	-	-	
عنوان	-	-	-	-	-	-	
قهرماني	-	-	-	-	-	-	
را	-	-	-	-	-	-	
دارد	-	-	-	-	-	-	
.	-	-	-	-	-	-	

البته	-	-	-	-	-	-	
بايد	-	-	-	-	-	-	
تا	-	-	-	-	-	-	
انتهاي	-	-	-	-	-	-	
فصل	-	-	-	-	-	-	
منتظر	-	-	-	-	-	-	
بمانيم	-	-	-	-	-	-	
و	-	-	-	-	-	-	
ببينيم	-	-	-	-	-	-	
که	-	-	-	-	-	-	
چه	-	-	-	-	-	-	
تيم	-	-	-	-	-	-	
هايي	-	-	-	-	-	-	
به	-	-	-	-	-	-	
عنوان	-	-	-	-	-	-	
مدعيان	-	-	-	-	-	-	
عنوان	-	-	-	-	-	-	
قهرماني	-	-	-	-	-	-	
شناخته	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
شوند	-	-	-	-	-	-	
.	-	-	-	-	-	-	

