	-	-	-	-	-	-
فارس	Organization	12	5	Entity	NO	
تعداد	-	-	-	-	-	-
خريداران	-	-	-	-	-	
خارجي	-	-	-	-	-	
که	-	-	-	-	-	-
طي	-	-	-	-	-	-
دوره	-	-	-	-	-	-
مذکور	-	-	-	-	-	-
توانسته	-	-	-	-	-	-
اند	-	-	-	-	-	
براي	-	-	-	-	-	-
حضور	-	-	-	-	-	-
در	-	-	-	-	-	-
بورس	Organization(*	15(*	3(*	Entity(*	NO(*	(*
انرژي	Organization*)	15*)	3*)	Entity*)	NO*)	*)
کد	-	-	-	-	-	-
معاملاتي	-	-	-	-	-	-
دريافت	-	-	-	-	-	-
کنند	-	-	-	-	-	
،	-	-	-	-	-	-
هم	-	-	-	-	-	-
اکنون	-	-	-	-	-	-
به	-	-	-	-	-	-
121	-	-	-	-	-	
خريدار	-	-	-	-	-	
از	-	-	-	-	-	-
19	-	-	-	-	-	-
کشور	-	-	-	-	-	-
مختلف	-	-	-	-	-	-
هستند	-	-	-	-	-	
که	-	-	-	-	-	-
در	-	-	-	-	-	-
اين	-	-	-	-	-	-
بين	-	-	-	-	-	-
به	-	-	-	-	-	-
ترتيب	-	-	-	-	-	-
سه	-	-	-	-	-	-
شرکت	-	-	-	-	-	-
افغانستان	Location	19	19	Entity	NO	
،	-	-	-	-	-	-
امارات	Location	20	20	Entity	NO	
و	-	-	-	-	-	-
عراق	Location	21	21	Entity	NO	
پر	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
ترين	-	-	-	-	-	-
مشتريان	-	-	-	-	-	-
خارجي	-	-	-	-	-	-
بورس	-	-	-	-	-	-
انرژي	-	-	-	-	-	-
را	-	-	-	-	-	-
به	-	-	-	-	-	-
خود	-	-	-	-	-	-
اختصاص	-	-	-	-	-	-
داده	-	-	-	-	-	-
اند	-	-	-	-	-	-
.	-	-	-	-	-	-

جدول	-	-	-	-	-	
زير	-	-	-	-	-	-
به	-	-	-	-	-	-
تفکيک	-	-	-	-	-	-
محل	-	-	-	-	-	-
ثبت	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
کد	-	-	-	-	-	-
هاي	-	-	-	-	-	-
معاملاتي	-	-	-	-	-	-
صادر	-	-	-	-	-	-
شده	-	-	-	-	-	-
براي	-	-	-	-	-	-
فعاليت	-	-	-	-	-	-
در	-	-	-	-	-	-
بورس	Organization(*	23(*	3(*	Entity(*	NO(*	(*
انرژي	Organization*)	23*)	3*)	Entity*)	NO*)	*)
را	-	-	-	-	-	-
نشان	-	-	-	-	-	-
مي	-	-	-	-	-	-
دهد	-	-	-	-	-	
.	-	-	-	-	-	-

در	-	-	-	-	-	-
ضمن	-	-	-	-	-	-
13	-	-	-	-	-	
کشور	-	-	-	-	-	
مختلف	-	-	-	-	-	
در	-	-	-	-	-	-
طول	-	-	-	-	-	-
دوره	-	-	-	-	-	-
4	-	-	-	-	-	-
ساله	-	-	-	-	-	-
اخير	-	-	-	-	-	-
مقصد	-	-	-	-	-	-
صادرات	-	-	-	-	-	-
کالاهاي	-	-	-	-	-	-
معامله	-	-	-	-	-	-
شده	-	-	-	-	-	-
در	-	-	-	-	-	-
بورس	Organization(*	45(*	3(*	Entity(*	NO(*	(*
انرژي	*	*	*	*	*	*
ايران	Organization*)	45*)	3*)	Entity*)	NO*)	*)
بوده	-	-	-	-	-	-
اند	-	-	-	-	-	
.	-	-	-	-	-	-

رديف	-	-	-	-	-	-
کشور	-	-	-	-	-	-
1	-	-	-	-	-	-
ارمنستان	Location	47	28	Entity	NO	
2	-	-	-	-	-	-
افغانستان	Location	48	19	Entity	NO	
3	-	-	-	-	-	-
امارات	Location	49	20	Entity	NO	
4	-	-	-	-	-	-
آفريقاي	Location(*	50(*	50(*	Entity(*	NO(*	(*
جنوبي	Location*)	50*)	50*)	Entity*)	NO*)	*)
5	-	-	-	-	-	-
پاکستان	Location	51	29	Entity	NO	
6	-	-	-	-	-	-
تاجيکستان	Location	52	52	Entity	NO	
7	-	-	-	-	-	-
ترکيه	Location	53	30	Entity	NO	
8	-	-	-	-	-	-
چين	Location	54	36	Entity	NO	
9	-	-	-	-	-	-
عراق	Location	55	21	Entity	NO	
10	-	-	-	-	-	-
عمان	Location	56	39	Entity	NO	
11	-	-	-	-	-	-
گرجستان	Location	57	32	Entity	NO	
12	-	-	-	-	-	-
نخجوان	Location	58	58	Entity	NO	
13	-	-	-	-	-	-
هندوستان	Location	59	34	Entity	NO	
به	-	-	-	-	-	-
گزارش	-	-	-	-	-	-
فارس	Organization	60	5	Entity	NO	
،	-	-	-	-	-	-
کالاهاي	-	-	-	-	-	-
عرضه	-	-	-	-	-	-
شده	-	-	-	-	-	-
در	-	-	-	-	-	-
رينگ	Organization(*	61(*	3(*	Entity(*	NO(*	(*
بين	*	*	*	*	*	*
الملل	*	*	*	*	*	*
بورس	*	*	*	*	*	*
انرژي	Organization*)	61*)	3*)	Entity*)	NO*)	*)
و	-	-	-	-	-	-
خريداران	-	-	-	-	-	-
و	-	-	-	-	-	-
مقاصد	-	-	-	-	-	-
صادراتي	-	-	-	-	-	-
اين	-	-	-	-	-	-
بازار	-	-	-	-	-	-
نيز	-	-	-	-	-	-
نشان	-	-	-	-	-	-
مي	-	-	-	-	-	-
دهد	-	-	-	-	-	-
پس	-	-	-	-	-	-
از	-	-	-	-	-	-
گاز	-	-	-	-	-	-
مايع	-	-	-	-	-	-
،	-	-	-	-	-	-
نفت	-(*	62(*	62(*	Other(*	NO(*	(*
گاز	-*)	62*)	62*)	Other*)	NO*)	*)
(	-	-	-	-	-	-
گازوييل	-	63	62	Other	NO	
)	-	-	-	-	-	-
اصلي	-	-	-	-	-	-
ترين	-	-	-	-	-	-
کالاي	-	-	-	-	-	-
معامله	-	-	-	-	-	-
شده	-	-	-	-	-	-
در	-	-	-	-	-	-
اين	-	-	-	-	-	-
رينگ	-	-	-	-	-	-
بوده	-	-	-	-	-	-
است	-	-	-	-	-	-
.	-	-	-	-	-	-

پس	-	-	-	-	-	-
از	-	-	-	-	-	-
آن	-	-	-	-	-	-
نيز	-	-	-	-	-	-
حلال	-	-	-	-	-	-
ها	-	-	-	-	-	-
و	-	-	-	-	-	-
نفتا	-	-	-	-	-	-
رتبه	-	-	-	-	-	-
هاي	-	-	-	-	-	-
بعدي	-	-	-	-	-	-
را	-	-	-	-	-	-
به	-	-	-	-	-	-
خود	-	-	-	-	-	-
اختصاص	-	-	-	-	-	-
داده	-	-	-	-	-	-
اند	-	-	-	-	-	-
.	-	-	-	-	-	-

نام	-	-	-	-	-	-
کالا	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
خريداران	-	-	-	-	-	-
خارجي	-	-	-	-	-	-
فعال	-	-	-	-	-	-
مقاصد	-	-	-	-	-	-
صادرات	-	-	-	-	-	-
ياکستراکت	-	-	-	-	-	-
1	-	-	-	-	-	-
عمان	Location	64	39	Entity	NO	
گاز	-	-	-	-	-	-
بوتان	-	-	-	-	-	-
1	-	-	-	-	-	-
امارات	Location	65	20	Entity	NO	
حلال	-	-	-	-	-	-
ها	-	-	-	-	-	-
8	-	-	-	-	-	-
افغانستان	Location	66	19	Entity	NO	
-	-	-	-	-	-	-
پاکستان	Location	67	29	Entity	NO	
-	-	-	-	-	-	-
عراق	Location	68	21	Entity	NO	
-	-	-	-	-	-	-
ترکيه	Location	69	30	Entity	NO	
-	-	-	-	-	-	-
ارمنستان	Location	70	28	Entity	NO	
سوخت	-	-	-	-	-	-
هوايي	-	-	-	-	-	-
2	-	-	-	-	-	-
عراق	Location	71	21	Entity	NO	
-	-	-	-	-	-	-
ارمنستان	Location	72	28	Entity	NO	
گاز	-	-	-	-	-	-
مايع	-	-	-	-	-	-
21	-	-	-	-	-	-
امارات	Location	73	20	Entity	NO	
-	-	-	-	-	-	-
افغانستان	Location	74	19	Entity	NO	
-	-	-	-	-	-	-
پاکستان	Location	75	29	Entity	NO	
-	-	-	-	-	-	-
عراق	Location	76	21	Entity	NO	
-	-	-	-	-	-	-
ترکيه	Location	77	30	Entity	NO	
-	-	-	-	-	-	-
ارمنستان	Location	78	28	Entity	NO	
-	-	-	-	-	-	-
آفريقاي	Location(*	79(*	50(*	Entity(*	NO(*	(*
جنوبي	Location*)	79*)	50*)	Entity*)	NO*)	*)
متانول	-	-	-	-	-	-
1	-	-	-	-	-	-
هندوستان	Location	80	34	Entity	NO	
نفت	-	-	-	-	-	-
سفيد	-	-	-	-	-	-
2	-	-	-	-	-	-
عراق	Location	81	21	Entity	NO	
نفت	-	-	-	-	-	-
کوره	-	-	-	-	-	-
1	-	-	-	-	-	-
امارات	Location	82	20	Entity	NO	
-	-	-	-	-	-	-
عراق	Location	83	21	Entity	NO	
نفت	-	-	-	-	-	-
گاز	-	-	-	-	-	-
18	-	-	-	-	-	-
افغانستان	Location	84	19	Entity	NO	
-	-	-	-	-	-	-
عراق	Location	85	21	Entity	NO	
-	-	-	-	-	-	-
نخجوان	Location	86	58	Entity	NO	
نفت	-	-	-	-	-	-
3	-	-	-	-	-	-
امارات	Location	87	20	Entity	NO	
-	-	-	-	-	-	-
چين	Location	88	36	Entity	NO	
-	-	-	-	-	-	-
هندوستان	Location	89	34	Entity	NO	
بورس	Organization(*	90(*	3(*	Entity(*	NO(*	(*
انرژي	*	*	*	*	*	*
ايران	Organization*)	90*)	3*)	Entity*)	NO*)	*)
اگر	-	-	-	-	-	-
چه	-	-	-	-	-	-
هنوز	-	-	-	-	-	-
در	-	-	-	-	-	-
قامت	-	-	-	-	-	-
جواني	-	-	-	-	-	-
قرار	-	-	-	-	-	-
دارد	-	-	-	-	-	
،	-	-	-	-	-	-
اما	-	-	-	-	-	-
افزايش	-	-	-	-	-	-
تقاضا	-	-	-	-	-	-
در	-	-	-	-	-	-
اين	-	-	-	-	-	-
بازار	-	-	-	-	-	-
متشکل	-	-	-	-	-	-
و	-	-	-	-	-	-
شفاف	-	-	-	-	-	-
در	-	-	-	-	-	-
پسابرجام	-	-	-	-	-	-
و	-	-	-	-	-	-
تاکيد	-	-	-	-	-	-
متوليان	-	-	-	-	-	-
کشور	-	-	-	-	-	-
بر	-	-	-	-	-	-
لزوم	-	-	-	-	-	-
گام	-	-	-	-	-	-
برداشتن	-	-	-	-	-	-
در	-	-	-	-	-	-
محور	-	-	-	-	-	-
اقتصاد	-	-	-	-	-	-
مقاومتي	-	-	-	-	-	-
،	-	-	-	-	-	-
اهميت	-	-	-	-	-	-
بيش	-	-	-	-	-	-
از	-	-	-	-	-	-
پيش	-	-	-	-	-	-
اين	-	-	-	-	-	-
بازار	-	-	-	-	-	-
را	-	-	-	-	-	-
به	-	-	-	-	-	-
ويژه	-	-	-	-	-	-
در	-	-	-	-	-	-
حوزه	-	-	-	-	-	-
هاي	-	-	-	-	-	-
انرژي	-	-	-	-	-	-
و	-	-	-	-	-	-
قرارداد	-	-	-	-	-	-
هاي	-	-	-	-	-	-
بلند	-	-	-	-	-	-
مدت	-	-	-	-	-	-
براي	-	-	-	-	-	-
بنگاههاي	-	-	-	-	-	-
اقتصادي	-	-	-	-	-	-
را	-	-	-	-	-	-
بيش	-	-	-	-	-	-
از	-	-	-	-	-	-
پيش	-	-	-	-	-	-
با	-	-	-	-	-	-
اهميت	-	-	-	-	-	-
مي	-	-	-	-	-	-
کند	-	-	-	-	-	-
.	-	-	-	-	-	-

اين	-	-	-	-	-	
موضوع	-	-	-	-	-	
توجه	-	-	-	-	-	-
ويژه	-	-	-	-	-	-
وزير	-	-	-	-	-	-
نفت	-	-	-	-	-	-
براي	-	-	-	-	-	-
افزايش	-	-	-	-	-	-
عرضه	-	-	-	-	-	-
همه	-	-	-	-	-	-
محصولات	-	-	-	-	-	-
و	-	-	-	-	-	-
فرآورده	-	-	-	-	-	-
هاي	-	-	-	-	-	-
نفتي	-	-	-	-	-	-
بويژه	-	-	-	-	-	-
در	-	-	-	-	-	-
دوره	-	-	-	-	-	-
هاي	-	-	-	-	-	-
زماني	-	-	-	-	-	-
پر	-	-	-	-	-	-
تقاضا	-	-	-	-	-	-
را	-	-	-	-	-	-
مي	-	-	-	-	-	-
طلبد	-	-	-	-	-	
که	-	-	-	-	-	-
بايد	-	-	-	-	-	-
با	-	-	-	-	-	-
وحدت	-	-	-	-	-	-
رويه	-	-	-	-	-	-
و	-	-	-	-	-	-
اعتقاد	-	-	-	-	-	-
به	-	-	-	-	-	-
شفافيت	-	-	-	-	-	-
مالي	-	-	-	-	-	-
در	-	-	-	-	-	-
اقتصاد	-	-	-	-	-	-
راهي	-	-	-	-	-	-
به	-	-	-	-	-	-
جز	-	-	-	-	-	-
بورس	Organization(*	94(*	3(*	Entity(*	NO(*	(*
انرژي	Organization*)	94*)	3*)	Entity*)	NO*)	*)
را	-	-	-	-	-	-
در	-	-	-	-	-	-
پيش	-	-	-	-	-	-
نداشته	-	-	-	-	-	-
باشد	-	-	-	-	-	-
.	-	-	-	-	-	-

اقدامي	-	-	-	-	-	
که	-	-	-	-	-	-
بتواند	-	-	-	-	-	
به	-	-	-	-	-	-
عطش	-	-	-	-	-	-
تقاضا	-	-	-	-	-	-
براي	-	-	-	-	-	-
هميشه	-	-	-	-	-	-
در	-	-	-	-	-	-
بورس	-	-	-	-	-	-
پاسخ	-	-	-	-	-	-
داده	-	-	-	-	-	-
و	-	-	-	-	-	-
ساختارهاي	-	-	-	-	-	-
انحصار	-	-	-	-	-	-
طلبي	-	-	-	-	-	-
رخنه	-	-	-	-	-	-
کرده	-	-	-	-	-	-
بر	-	-	-	-	-	-
اقتصاد	-	-	-	-	-	-
ايران	Location	97	97	Entity	NO	
بشکند	-	-	-	-	-	
.	-	-	-	-	-	-

